id,language,culturally_distinct,cultural_distinction_explanation,vocaroo_link,image_link,transcription,selected_other_languages,translation,Goodness
18VtHYjlg2HR,English,FALSE,nan,https://voca.ro/18VtHYjlg2HR,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/qingming_festival-1999-40.jpg," ... possibly by some kind of cemetery or some kind of hilly region where they're all looking at different things. There's a group of exactly nine people that are shown in the image, all concentrated in the middle of the image, but everyone's looking in a different direction. Some people may be conversing. Some people are holding up umbrellas and looking into the distance. In the background, there's a nice skyline. Things look a little bleak, though, because in the background, the sky doesn't look as blue as it should. The grass is also filled with a lot of dirt and doesn't really look like to be the brightest version of green. All these people don't have any noticeable expression on their face. They seem pretty stoic. There's no text on the screen. Besides the text that are engraved in the rocks.",FALSE," ... possibly by some kind of cemetery or some kind of hilly region where they're all looking at different things. There's a group of exactly nine people that are shown in the image, all concentrated in the middle of the image, but everyone's looking in a different direction. Some people may be conversing. Some people are holding up umbrellas and looking into the distance. In the background, there's a nice skyline. Things look a little bleak, though, because in the background, the sky doesn't look as blue as it should. The grass is also filled with a lot of dirt and doesn't really look like to be the brightest version of green. All these people don't have any noticeable expression on their face. They seem pretty stoic. There's no text on the screen. Besides the text that are engraved in the rocks.",
1ckcWP3PHIH5,English,FALSE,nan,https://voca.ro/1ckcWP3PHIH5,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/prize_giving_ceremony_metro-radio_mandarin_power_nation-wide_most_popular_idol-1534-02.jpg," ...receiving an award for the award show. The background clearly depicts that they're standing in front of some kind of poster for which they're taking a picture. Possibly it could be a movie that they acted in. The person looks very handsome. It's a man, and they have some kind of side part hair going for them, a very strong jawline, and they're holding the award. They're holding the award, which is red on the bottom, red in the base, and it looks very bright up top. It's golden in color, a golden hue. In their right hand, they're actually holding a single-eyed plushie. It looks like a monster plushie almost. It could have something to do with the movie that they acted in. The background also has a lot of waves. It's very blue in color, and you could see hilly, icy mountains. Granted, the text that is given in the background, it's not legible because I do not know the language that is being discussed.",FALSE," ...receiving an award for the award show. The background clearly depicts that they're standing in front of some kind of poster for which they're taking a picture. Possibly it could be a movie that they acted in. The person looks very handsome. It's a man, and they have some kind of side part hair going for them, a very strong jawline, and they're holding the award. They're holding the award, which is red on the bottom, red in the base, and it looks very bright up top. It's golden in color, a golden hue. In their right hand, they're actually holding a single-eyed plushie. It looks like a monster plushie almost. It could have something to do with the movie that they acted in. The background also has a lot of waves. It's very blue in color, and you could see hilly, icy mountains. Granted, the text that is given in the background, it's not legible because I do not know the language that is being discussed.",
1g4p2OgNl0B4,English,FALSE,nan,https://voca.ro/1g4p2OgNl0B4,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000072550.jpg," A black and white image of a truck being towed. I think it's an older image because it's black and white and the style of the cars are very different. It definitely seems a little bit more old-timey. There are two cars, one that's being driven and one that's being towed, and there are two men that are using a contraption to bring the second car onto the first car. There is some text that says Heiner U.S. Tire Auto Service, Sylvani, and so this is what's in the foreground. In the back, there are more maybe white, large white containers that might be trucks, might not be trucks, and there is one of those, and there's another white truck that says Dolan on the left in the background. There are two buildings and this, a lot of trees, maybe four trees that have no leaves on them.",FALSE," A black and white image of a truck being towed. I think it's an older image because it's black and white and the style of the cars are very different. It definitely seems a little bit more old-timey. There are two cars, one that's being driven and one that's being towed, and there are two men that are using a contraption to bring the second car onto the first car. There is some text that says Heiner U.S. Tire Auto Service, Sylvani, and so this is what's in the foreground. In the back, there are more maybe white, large white containers that might be trucks, might not be trucks, and there is one of those, and there's another white truck that says Dolan on the left in the background. There are two buildings and this, a lot of trees, maybe four trees that have no leaves on them.",
1gH4X2D6zfSC,English,TRUE,nan,https://voca.ro/1gH4X2D6zfSC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/food-1517-48.jpg," A bunch of eatery laid out on the page. Most of the color is red. I see a lot of the dishes are red-rimmed. I also see some of the plates. It looks like a container to hold soy sauce. I see three of them stacked on each other. It's some sort of porcelain, bluish porcelain. I also see what looks to be some chopsticks on top of it. I see a plant-looking dish with fish on top. On the top right. But again, most of everything is red. I see a tea kettle on the bottom right. And... I see... Some pieces of fish, I believe, on another dish on the top left. And I see some Chinese letters, characters on the bottom.",FALSE," A bunch of eatery laid out on the page. Most of the color is red. I see a lot of the dishes are red-rimmed. I also see some of the plates. It looks like a container to hold soy sauce. I see three of them stacked on each other. It's some sort of porcelain, bluish porcelain. I also see what looks to be some chopsticks on top of it. I see a plant-looking dish with fish on top. On the top right. But again, most of everything is red. I see a tea kettle on the bottom right. And... I see... Some pieces of fish, I believe, on another dish on the top left. And I see some Chinese letters, characters on the bottom.",
1c4Sz5kVLMbf,English,TRUE,nan,https://voca.ro/1c4Sz5kVLMbf,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/taipei_taiwan_university_sports_center-638-12.jpg," A lot of people, maybe around like a thousand. If I had to guess, most of them are Asian. The room has a lot of chairs on the center floor and also on the side. There is one female speaker at the center. She's sitting at a desk with blue background and yellow. Ordered by yellow things. The stage also has some Buddha or religious figure in the center. As well as some swastikas. Okay. Okay. I'm not sure what this is. The woman is on a TV screen on the left and right of her on the stage. And in the middle of the stadium there is a yellow streamers hanging down with red Chinese characters. And it appears like it's daytime since it's pretty bright.",FALSE," A lot of people, maybe around like a thousand. If I had to guess, most of them are Asian. The room has a lot of chairs on the center floor and also on the side. There is one female speaker at the center. She's sitting at a desk with blue background and yellow. Ordered by yellow things. The stage also has some Buddha or religious figure in the center. As well as some swastikas. Okay. Okay. I'm not sure what this is. The woman is on a TV screen on the left and right of her on the stage. And in the middle of the stadium there is a yellow streamers hanging down with red Chinese characters. And it appears like it's daytime since it's pretty bright.",
1hQcg99IkvXD,English,FALSE,nan,https://voca.ro/1hQcg99IkvXD,"https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/li_ximing,_beijing_secretary_municipal_committee_of_the_cpc,_criticized_the_students_to_conduct_cultural_revolution-2092-52.jpg"," a man and a woman. They're staring at each other and facing the camera. And they're walking towards us on some sort of track or something. And they're both dressed in a lot of clothing. So I'm assuming it's winter. They have neutral expressions. The woman is shorter than the man. The man is holding some sort of instrument case. It might be a guitar or a cello. While the woman is holding a bag across the shoulder bag that is orange brownish. The woman is wearing a red sweater with some blazer on top. She's also wearing some gloves. Some wool gloves. She's wearing a long floral skirt. And she's wearing black shoes. The man is wearing jeans with a brown jacket. And he's also wearing a brown scarf. The woman is wearing a red scarf. Both the man and woman have brownish hair. And on top of them in the center it says, Once music from the motion picture. Once is in orange and music from the motion picture is in white.",FALSE," a man and a woman. They're staring at each other and facing the camera. And they're walking towards us on some sort of track or something. And they're both dressed in a lot of clothing. So I'm assuming it's winter. They have neutral expressions. The woman is shorter than the man. The man is holding some sort of instrument case. It might be a guitar or a cello. While the woman is holding a bag across the shoulder bag that is orange brownish. The woman is wearing a red sweater with some blazer on top. She's also wearing some gloves. Some wool gloves. She's wearing a long floral skirt. And she's wearing black shoes. The man is wearing jeans with a brown jacket. And he's also wearing a brown scarf. The woman is wearing a red scarf. Both the man and woman have brownish hair. And on top of them in the center it says, Once music from the motion picture. Once is in orange and music from the motion picture is in white.",
1gMNcninFv7N,English,FALSE,nan,https://voca.ro/1gMNcninFv7N,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910684279515981_0.jpg," A natural scene featuring a distinctive tree and a large stone. I think this is on a mountain with a foggy backdrop. Actually, I would guess this is the famous Huangshan Mountain because of the unique shape of this distinctive tree. And also on the stone next to the tree, we can see some Chinese handwriting that is engraved on the stone. There's one word that is large called hua, which is... which is painting in English. And this is written by Mr. Zhu De, who is a very famous military leader for the People's Republic of China. So this must be a very famous tourist destination in China. And it looks like it is on a mountain. It is quite high. And the weather is quite foggy. And the tree has a very unique and twisted shape. And also like beneath the tree, there are some small rocks as well. And also there is some fences around the rock. So I guess people can stand there and have some sightseeing. So this is probably a sightseeing point. So from the image, one could infer this is a tourist destination in China due to the Chinese writing on the rock. And this should be famous. And this should be on a mountain.",FALSE," A natural scene featuring a distinctive tree and a large stone. I think this is on a mountain with a foggy backdrop. Actually, I would guess this is the famous Huangshan Mountain because of the unique shape of this distinctive tree. And also on the stone next to the tree, we can see some Chinese handwriting that is engraved on the stone. There's one word that is large called hua, which is... which is painting in English. And this is written by Mr. Zhu De, who is a very famous military leader for the People's Republic of China. So this must be a very famous tourist destination in China. And it looks like it is on a mountain. It is quite high. And the weather is quite foggy. And the tree has a very unique and twisted shape. And also like beneath the tree, there are some small rocks as well. And also there is some fences around the rock. So I guess people can stand there and have some sightseeing. So this is probably a sightseeing point. So from the image, one could infer this is a tourist destination in China due to the Chinese writing on the rock. And this should be famous. And this should be on a mountain.",
18prKz9IE9RR,English,FALSE,nan,https://voca.ro/18prKz9IE9RR,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910684279579444_0.jpg," a picture of a village that is located within the mountain. At first glance, what strikes me the most would be the red building in the center of the mountain which makes me guess that this is likely a hotel located in the Picture Squales mountain area. At the bottom of the mountain leading down from this large hotel, I can see several other small buildings which are rather plentiful in nature and this is connected by a very nice mountain path at the right side of the image. The center of the image is the hotel with red walls flanked by a golden roof and at the background of the image will be other mountains as well. The star in color of this image will be that the hotel itself will be red in color with the stairwells to be white in color. There are other villages that are white, other buildings that are white in color at the bottom of the hotel as well and the other buildings that are white in color at the bottom of the hotel as well. The mountains are green in color with the sky being white in color. Although there's no contextual information that might help me to understand the image, given that this is on a mountain, I suppose that this is somewhere located near the countryside and therefore likely somewhere in a more rural area per se.",FALSE," a picture of a village that is located within the mountain. At first glance, what strikes me the most would be the red building in the center of the mountain which makes me guess that this is likely a hotel located in the Picture Squales mountain area. At the bottom of the mountain leading down from this large hotel, I can see several other small buildings which are rather plentiful in nature and this is connected by a very nice mountain path at the right side of the image. The center of the image is the hotel with red walls flanked by a golden roof and at the background of the image will be other mountains as well. The star in color of this image will be that the hotel itself will be red in color with the stairwells to be white in color. There are other villages that are white, other buildings that are white in color at the bottom of the hotel as well and the other buildings that are white in color at the bottom of the hotel as well. The mountains are green in color with the sky being white in color. Although there's no contextual information that might help me to understand the image, given that this is on a mountain, I suppose that this is somewhere located near the countryside and therefore likely somewhere in a more rural area per se.",
1eYlIhdBBF7s,English,FALSE,nan,https://voca.ro/1eYlIhdBBF7s,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743584271943013_0.jpg," A picture of two celebrities that two celebrities or perhaps panelists or emcees, they both have mics in their hands. One of them is wearing a blue dress that is sleeveless, that has a black and white pattern on it and has buttons down the front. The other is wearing a black suit with a black shirt under it. And they're both holding mics. One of them is holding the mic in their right hand or their in their left hand. But we perceive it as right hand. And they're looking at the other person who's holding the mic in both hands. In the background, we can see some sort of brown building. The background is a bit blurry, so it's hard to tell. But based on the picture, since they're holding mics, we can infer that the background is some sort of stage background and they're performing or announcing in front of it. In the picture, they're both not speaking with the mics. They're both smiling. One of them is looking to the side. The other one is looking down. So there are two people in this picture, and it seems to be of a professional style and high quality.",FALSE," A picture of two celebrities that two celebrities or perhaps panelists or emcees, they both have mics in their hands. One of them is wearing a blue dress that is sleeveless, that has a black and white pattern on it and has buttons down the front. The other is wearing a black suit with a black shirt under it. And they're both holding mics. One of them is holding the mic in their right hand or their in their left hand. But we perceive it as right hand. And they're looking at the other person who's holding the mic in both hands. In the background, we can see some sort of brown building. The background is a bit blurry, so it's hard to tell. But based on the picture, since they're holding mics, we can infer that the background is some sort of stage background and they're performing or announcing in front of it. In the picture, they're both not speaking with the mics. They're both smiling. One of them is looking to the side. The other one is looking down. So there are two people in this picture, and it seems to be of a professional style and high quality.",
1dZ3iAU96vXO,English,TRUE,Distinctive jewelry,https://voca.ro/1dZ3iAU96vXO,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Tamil_images/5920593854276761982_0.jpg, all right so we got a four types of jewelry maybe one large jewelry set of a bracelet or bracers color is a lavender a bright purple with a yellowish trim some most likely something you would bear on your forearms it's being held in the foreground by somebody's hand and a background I can see other types of jewelry maybe a case the control hold that jewelry so blurry in the background is difficult to see but also maybe see this is a laid-out pink whitish piece of cloth we wish to hold the jewelry I also see that they have some sort of plastic bag the top right,FALSE, all right so we got a four types of jewelry maybe one large jewelry set of a bracelet or bracers color is a lavender a bright purple with a yellowish trim some most likely something you would bear on your forearms it's being held in the foreground by somebody's hand and a background I can see other types of jewelry maybe a case the control hold that jewelry so blurry in the background is difficult to see but also maybe see this is a laid-out pink whitish piece of cloth we wish to hold the jewelry I also see that they have some sort of plastic bag the top right,
