id,language,culturally_distinct,cultural_distinction_explanation,vocaroo_link,image_link,transcription,selected_other_languages
15klNPFs3bjC,English,False,,https://voca.ro/15klNPFs3bjC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/yearly_sprite_billboard_music_award_ceremony-1140-79.jpg," I'm not one to complain, but I have seen this image again, but I'll give it a go. We are looking at a man holding up some rewards at apparently an awards show. It appears to have done quite well as he is holding up three awards. The primary colors here are blue and green, which represent just primarily the background. There's some yellow. And then let me jump into the outfit of this guy. Black suit top, casual white pants, brown belt, striped black, white, blue, and gray t-shirt, dress shirt. It appears like this image was taken in 2007 or is in remembrance of something that happened in 2007. You never know. And yeah, other than that, if I look a little bit more in the background, why don't we zoom in. Here's Asian iconography. It's like it's a music show, given that there's a music note for the background.",False
15NsQqEoyjby,English,False,,https://voca.ro/15NsQqEoyjby,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910684273870573_0.jpg," This image shows a large white and red fortress that is built on a hill with deep blue skies and mountains in the background. We see a large palace or monastery, white staircases, mountain landscape, and bright blue skies and clouds. There's no visible text in this image. The palace is positioned on the upper part of the hill, appearing grand and dominant. The white staircase zigzags up the slope. The mountains are in the background. We also notice that there's a contrast between the white walls and the red upper sections, which add to the majestic look of the building. And the clear blue sky and surroundings indicate a high altitude location. For the background, the mountain ranges and deep blue sky with some clouds create a nice backdrop. In regards to style and color, this looks like white walls with red and gold accents. And naturally, it's a little bit more of a blue sky. The landscape is a little bit more of a greenish-greenish color. And the landscape is a little bit more of a blue sky. This looks like a location with significant village significance. And it's also, it looks to be like a remote and elevated setting, which with high altitudes. So it probably has some sort of deep cultural and historical importance.",False
1hU5twD8Pqxx,English,False,,https://voca.ro/1hU5twD8Pqxx,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941064277959441_0.jpg, So in this image there's a black background and it seems to be really high quality because there's sort of like two different sets of flowers but they're the same flowers but they're in like two different clusters or groupings. So there are flowers in the forefront that are very high quality. They're purple and white and then in the background are those same exact flowers as well except that they're slightly out of frame so they're out of focus. Each cluster has around like four different heads of flowers in them. You can see in the background a little bit of green which is probably like the stem that the flowers are connected to. The flowers if I could describe them they kind of look like they're butterflies and I'm assuming they're kind of like smaller in terms of like head size than like... a rose or whatever. And they don't appear... the petals seem to be sort of like almost an axe head or a butterfly where there's not... it's not like completely surrounding the sort of like middle part but it's kind of just like you know framing it along the left and the right.,False
17QTBVV9DwQh,Chinese,True,Korean words.,https://voca.ro/17QTBVV9DwQh,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574279238671_0.jpg,在画面的正中央是一个蓝色的金属的指示牌蓝色的底黄色的一块显示的像是一个火车或者地铁的一个标志图画数字显示的是11上面的文字是韩国文字从这个背景的天气来看现在是晚上照这个照片旁边还有路灯从树上掉落的叶子已经掉秃来看应该是秋季或者是冬季树上一片树叶也没有只有干枯的树叉旁边这个应该就是整个地铁站是金属和玻璃制成的这个整个图片应该是描述的是城市里边的一处地铁站第11号地铁口由于写的是韩文我们看不懂不过可以确定的是这个图片应该是照的是韩国的某个城市里的一个地铁站底下还有一些小字的描述但是图片不是很清晰所以看不清楚后面还能看到一些高楼和灯牌建筑物路灯正在照亮街道这些都是在这边的这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯这边的楼梯,False
12rA8dOZvit5,English,True,Asian Banner,https://voca.ro/12rA8dOZvit5,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg, This is an Asian banner that's vertically arranged. There are two vertical columns of Asian script with a red background on either side of the image. There is a transverse column of red background and Asian script along the upper part of the image. The three sub parts of the banner have an H orientation period below the transverse part of the H. There are images of two Asian creatures that appear to be monkeys or lions that are facing each other. Period. The background of these images is yellow and the creatures themselves are in a red period. The medium seems to be ink and paint on paper. Period.,False
1aMp3E2cG77F,Hindi,True,The image is of a very popular tree leaves from India.,https://voca.ro/1aMp3E2cG77F,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594271459840_0.jpg," यहाँ चित्र नीम की पत्यों का चित्र है यह भारत के बहुत ही इसकी बहुत विशेषता है कि यह पत्यां बहुत कड़वी होती हैं मगर इनकी बहुत ही उषिदिक जरूरत होती है और यह सुखाकर जैसे अनाज में रखी जाती है इसकी उषिदिया बनाई जाती है यह पूरा की पूरा वरक्ष ही भारत में काम आता है जैसे इसकी डंडियां डातुन के तरे सुभख काम आती है यह पत्यों को उबालके, इसके फलो को उबालके, भी दवाईया बनाई जाती है और बुखार के समय दिया जाता है। इन पत्यों की जो कड़वाहाट होती है इससे बहुती कीटनाशक भी बनाये जाते हैं और पेट चोटे बच्चों के जिनको पेट में कीड़े हो रहे होते हैं उनको भी दिया जाता है ये वरक्ष बहुती बड़ा और छायादार होता है और भारत का एक बहुती प्रमुक वरक्षों में से एक है इसके नीचे गर्मियों में भी कितनी भी बहार कितनी भी गर्मी हो इसके नीचे बहुत ही ठंडी हवा चलती है और इसके आसपास हवा बहुती शुद्ध होती है इ",False
1kyS0SAGiS4G,Chinese,False,,https://voca.ro/1kyS0SAGiS4G,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/queen_of_no_marriage-1506-48.jpg,"这张图片应该是一个剧照,画面里有两个人,一男一女,男生侧对着镜头,是短头发,穿着一个黑色的皮夹克,里面套了一个黄色的外套,然后内搭是白色的,上面有黑色条纹和一些黑色看不清的英文字母,还戴着一条黑色的珠子的项链,然后他穿着一条黑色的裤子,女生站在画面的右边,女生是短头发,然后烫成了那种波波头,然后他穿了一个白色的外套,里面是白色内搭,然后他手上还拿着一个白色的类似风衣,然后他的一只手被男生抓住了胳膊,另外一只手拿着外套,跨着一个黑色的皮包,然后他们的背景是一个落地的窗户,窗户外面能看到一棵上面有着很多紫色亮灯的圣诞树。",False
1niYEh6t4sSp,Chinese,False,,https://voca.ro/1niYEh6t4sSp,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000067647.jpg,放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋放入鸡蛋,False
1c4TYQghHUhz,Chinese,True,Chinese traditional music instrument.,https://voca.ro/1c4TYQghHUhz,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574272329748_0.jpg,这是一个古针古琴应该是一个古琴我们能看到这个琴上有镶嵌金色的暗纹木质的琴身是深色的而且在琴的两边都雕饰有花纹而且琴身旁边还带有一个琴碎从这个摆设陈列看应该是比较具有历史意义因为前面有一个名牌立起来的标签述述说着这个琴的来历这像是某个展示的环节或者是展品或者是博物馆在展出这种古琴这个古琴看起来保存完好并没有很大的损伤或者是经过了时间久远的磨损之后的任何很旧的感觉应该保存得非常完好这个展品的底下铺的是一个粉色的布底后边我们还能看到一些其他的音乐器具比如说鼓还有一些其他的一个边钟类型的一个锣或者是一个铜锣或者是一个铁锣的一个音乐器所以这个展览看上去应该是某个古代乐器中国古乐器的展览,False
16djq0s6x5Am,English,True,Yes. The pin on Prime Minister Lee's left lapel suggests that this image is connected to Singapore.,https://voca.ro/16djq0s6x5Am,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941054276225809_0.jpg," This image presents a picture of a prime minister known as Lee Hsien Loong, Singapore's former prime minister. The objects and their accounts are as follows. This is a headshot of the prime minister. Basically, the prime minister is smiling very happily and very sincerely behind an orange and yellow background. There is no text and the position of the object will simply be the fact that the prime minister is smiling in the centre of the image. With regard to subtle details, I note that the prime minister is wearing a small pin on his left collar. Although I can't really see the image of the flag on the right, I suppose that it might be India and the flag on the left would be Singapore. This is likely indicative of a bilateral meeting. The prime minister himself is wearing a pin on his left collar. He is also wearing a blazer and he is also wearing a checkered red tie with a formal white shirt. The prime minister's hair is green, suggesting that he is getting slightly older in age. But he is smiling very honestly. He is a well-respected leader in Singapore. With regard to the style and colour, this is a very nice headshot with the prime minister dressed very smartly against a nicely coloured background as well. The contextual information is very clear. The only thing that allows me to best understand the image would be the pin that is wearing on his left lapel, which suggests that this is a bilateral meeting. And overall, I think that this is a very nice headshot.",False
