id,language,culturally_distinct,cultural_distinction_explanation,vocaroo_link,image_link,transcription,selected_other_languages,translation
15klNPFs3bjC,English,False,nan,https://voca.ro/15klNPFs3bjC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/yearly_sprite_billboard_music_award_ceremony-1140-79.jpg," I'm not one to complain, but I have seen this image again, but I'll give it a go. We are looking at a man holding up some rewards at apparently an awards show. It appears to have done quite well as he is holding up three awards. The primary colors here are blue and green, which represent just primarily the background. There's some yellow, and then let me jump into the outfit of this guy. Black suit top, casual white pants, brown belt, striped black, white, blue, and gray dress shirt. It feels like this image was taken in 2007 or is in remembrance of something that happened in 2007. You never know. And yeah, other than that, if I look a little bit more in the background, why don't we zoom in? Here's Asian iconography. It looks like it's a music show, given that there's a music note for the background.参каем the mostui 책s that shows this specialる theme of 24 khun sequence. It looks like it's a great idea of that. It looks like it's a marketing show and you can see accessories. A fantastic idea of a allen's way to download thisIS aos focus willst photos and damit by it. You're the only one thing you can see that a Flashicio has been downloaded, she's done in the season, has a cardic giving form. Out Citizenship Magid Parakut pL in the top 10. John has said Lexusfang, talked about sides Elo数 years ago and you are able to believe What other than you weigh about the word況 this way.",False," I'm not one to complain, but I have seen this image again, but I'll give it a go. We are looking at a man holding up some rewards at apparently an awards show. It appears to have done quite well as he is holding up three awards. The primary colors here are blue and green, which represent just primarily the background. There's some yellow, and then let me jump into the outfit of this guy. Black suit top, casual white pants, brown belt, striped black, white, blue, and gray dress shirt. It feels like this image was taken in 2007 or is in remembrance of something that happened in 2007. You never know. And yeah, other than that, if I look a little bit more in the background, why don't we zoom in? Here's Asian iconography. It looks like it's a music show, given that there's a music note for the background.参каем the mostui 책s that shows this specialる theme of 24 khun sequence. It looks like it's a great idea of that. It looks like it's a marketing show and you can see accessories. A fantastic idea of a allen's way to download thisIS aos focus willst photos and damit by it. You're the only one thing you can see that a Flashicio has been downloaded, she's done in the season, has a cardic giving form. Out Citizenship Magid Parakut pL in the top 10. John has said Lexusfang, talked about sides Elo数 years ago and you are able to believe What other than you weigh about the word況 this way."
15NsQqEoyjby,English,False,nan,https://voca.ro/15NsQqEoyjby,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910684273870573_0.jpg," This image shows a large white and red fortress that is built on a hill with deep blue skies and mountains in the background. We see a large palace or monastery, white staircases, mountain landscape, and bright blue skies and clouds. There's no visible text in this image. The palace is positioned on the upper part of the hill, appearing grand and dominant. The white staircase zigzags up the slope. The mountains are in the background. We also notice that there's a contrast between the white walls and the red upper sections, which add to the majestic look of the building. And the clear blue sky and surroundings indicate a high altitude location. For the background, the mountain ranges and deep blue sky with some clouds create a nice backdrop. There's, in regards to the style and color, this looks, there's white walls with red and gold accents and naturally, unnatural earthy tones from the landscape. This looks like a location with significant villages significance. And it's also, it looks to be like a remote and elevated setting, which, with high altitudes. Altitudes. So, it probably has some sort of deep cultural and historical importance.",False," This image shows a large white and red fortress that is built on a hill with deep blue skies and mountains in the background. We see a large palace or monastery, white staircases, mountain landscape, and bright blue skies and clouds. There's no visible text in this image. The palace is positioned on the upper part of the hill, appearing grand and dominant. The white staircase zigzags up the slope. The mountains are in the background. We also notice that there's a contrast between the white walls and the red upper sections, which add to the majestic look of the building. And the clear blue sky and surroundings indicate a high altitude location. For the background, the mountain ranges and deep blue sky with some clouds create a nice backdrop. There's, in regards to the style and color, this looks, there's white walls with red and gold accents and naturally, unnatural earthy tones from the landscape. This looks like a location with significant villages significance. And it's also, it looks to be like a remote and elevated setting, which, with high altitudes. Altitudes. So, it probably has some sort of deep cultural and historical importance."
1hU5twD8Pqxx,English,False,nan,https://voca.ro/1hU5twD8Pqxx,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941064277959441_0.jpg," So, in this image, there's a black background, and it seems to be really high quality, because the flower, there's sort of like two different sets of flowers, but they're the same flowers, but they're in like two different clusters or groupings. So, there are flowers in the forefront that are very high quality. They're purple and white, and then in the background are those same exact flowers as well, except that they're slightly out of frame, so they're out of focus. Each cluster has around like four different heads of flowers in them. You can see in the background a little bit of green, which is probably like the stem that the flowers are connected to. The flowers, if I could describe them, they kind of look like they're butterflies, and I'm assuming they're kind of like smaller in terms of like head size than like a rose or whatever, and they don't appear, the petals seem to be sort of like almost an axe head or a butterfly, where it's not like completely surrounding the sort of like middle part, but it's kind of just like, you know, framing it along the left and the right.",False," So, in this image, there's a black background, and it seems to be really high quality, because the flower, there's sort of like two different sets of flowers, but they're the same flowers, but they're in like two different clusters or groupings. So, there are flowers in the forefront that are very high quality. They're purple and white, and then in the background are those same exact flowers as well, except that they're slightly out of frame, so they're out of focus. Each cluster has around like four different heads of flowers in them. You can see in the background a little bit of green, which is probably like the stem that the flowers are connected to. The flowers, if I could describe them, they kind of look like they're butterflies, and I'm assuming they're kind of like smaller in terms of like head size than like a rose or whatever, and they don't appear, the petals seem to be sort of like almost an axe head or a butterfly, where it's not like completely surrounding the sort of like middle part, but it's kind of just like, you know, framing it along the left and the right."
17QTBVV9DwQh,Chinese,True,Korean words.,https://voca.ro/17QTBVV9DwQh,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574279238671_0.jpg,在画面的正中央呢是一个蓝色的金属的指示牌蓝色的底黄色的一块显示的像是一个火车或者地铁的一个标志图画数字呢显示的是11上面的文字呢是韩国文字从这个背景的天气来看现在是晚上照这个照片旁边还有路灯从树上掉落的叶子已经掉凸来看应该是秋季或者是冬季树上一片树也没有只有干枯的树叉旁边这个应该就是整个这个地铁站是金属和玻璃制成的这个整个图片应该是描述的是城市里边的一处地铁站第11号地铁口由于写的是韩文我们看不懂不过可以确定的是这个图片应该是照的是韩国的某个城市里的一个地铁站底下还有一些小字的描述但是图片不是很清晰所以看不清楚后面还能看到一些高楼和灯牌建筑物路灯正在照亮街道าย Kurかback cards我明天啊有点�iss väldigt Eck\,False,"In the center of the picture, there is a blue metal sign with a blue background and a yellow graphic that resembles a train or subway symbol. The number displayed is 11, and the text above is in Korean. Judging by the weather in the background, it is night, and there are streetlights nearby. The leaves falling from the trees have already dropped, indicating that it should be autumn or winter. There are no green leaves on the trees, only bare branches. This area appears to be the entire subway station, which is made of metal and glass. The whole image seems to depict a subway station in the city near subway line 11. Since the writing is in Korean, we cannot understand it, but we can confirm that this picture is taken at a subway station in a city in South Korea. There are also some small text descriptions at the bottom, but the image is not very clear, making it hard to read. In the background, you can also see some tall buildings and illuminated signs, with streetlights lighting up the street."
12rA8dOZvit5,English,True,Asian Banner,https://voca.ro/12rA8dOZvit5,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg," This is an Asian banner that's vertically arranged period. There are two vertical columns of Asian script with a red background on either side of the image period. There is a transverse column of red background and Asian script along the upper part of the image period. The three sub parts of the banner have an H orientation period below the transverse part of the H. There are images of two Asian creatures that appear to be monkeys or lions that are facing each other period. The background of these images is yellow and the creatures themselves are in red period. The medium seems to be ink and paint on paper period. Ready, ready, ready!",False," This is an Asian banner that's vertically arranged period. There are two vertical columns of Asian script with a red background on either side of the image period. There is a transverse column of red background and Asian script along the upper part of the image period. The three sub parts of the banner have an H orientation period below the transverse part of the H. There are images of two Asian creatures that appear to be monkeys or lions that are facing each other period. The background of these images is yellow and the creatures themselves are in red period. The medium seems to be ink and paint on paper period. Ready, ready, ready!"
1aMp3E2cG77F,Hindi,True,The image is of a very popular tree leaves from India.,https://voca.ro/1aMp3E2cG77F,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594271459840_0.jpg, यहां चित्र नीम की पत्यों का चित्र है यह भारत के बहुत ही इसकी बहुत विशेश्टा है कि यह पत्यां बहुत कड़वी होती हैं मगर इनकी बहुत ही औशदिक वो होती है जरूरत और यह सुखाकर जैसे अनाज में रखी जाती है इसकी औशदिया बनाई जाती है यह पूरा की पूरा व्रक्ष ही भारत में काम आता है जैसे इसकी डंडियां डातून के तरह सुख काम आती है यह पत्यों को उबालके इसके फलो को उबालके भी दवाया बनाई जाती है और वुखार के समय दिया जाता है इन पत्यों की जो क जिनको पेट में केड़े हो रहे होते हैं उनको भी दिया जाता है यह वरक्ष बहुत ही बड़ा और चायादार होता है और भारत का एक बहुत ही प्रमुक वरक्षों में से एक है इसके नीचे गर्मियों में इसके नीचे बहुत ही ठंडी हवा चलती है اور इसके असपास हवा भहुत ही शुद्ध होती है इसलिए ये घरों में भी लगाय जाता है\,False,"This is a picture of neem leaves. Neem has a very special significance in India; the leaves are very bitter but have excellent medicinal properties. They are dried and stored like grains, and medicines are made from them. The entire tree is useful in India; for instance, its branches are used as toothbrushes. The leaves and the fruits can be boiled to make medicines, especially given during fever, and are also administered to those with intestinal worms. This tree is very large and shady and is one of the most important trees in India. Under its shade, a very cool breeze flows in the summer, and the air around it is very pure, which is why it is also planted around homes."
1kyS0SAGiS4G,Chinese,False,nan,https://voca.ro/1kyS0SAGiS4G,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/queen_of_no_marriage-1506-48.jpg,"这张图片应该是一个剧照,画面里有两个人,一男一女,男生侧对着镜头,是短头发,穿着一个黑色的皮夹克,里面套了一个黄色的外套,然后那搭是白色的,上面有黑色条纹和一些黑色看不清的英文字母,还戴着一条黑色的珠子的项链,然后她穿着一条黑色的裤子,女生站在画面的右边,女生是短头发,然后烫成了那种拨拨头,然后她穿了一个白色的外套,里面是白色内搭,然后她手上还拿着一个白色的类似风一样的外套,然后她的一只手被男生抓住了胳膊,另外一只手拿着外套,挂着一个黑色的皮包,然后她们的背景是一个落地的窗户,窗户外面能看到一棵上面有着很多紫色亮灯的圣诞树,\",False,"This picture appears to be a scene from a play, featuring two people, a man and a woman. The man is positioned sideways to the camera, has short hair, and is wearing a black leather jacket with a yellow jacket underneath. The jacket is white, adorned with black stripes and some indistinct black letters. He is also wearing a black bead necklace. The woman, standing to the right side of the frame, has short hair styled in a bob and is wearing a white coat over a white inner layer. She is holding a white coat that resembles a windbreaker in one hand, while the other hand is being held by the man, who is grabbing her arm. She also has a black leather bag hanging from her other hand. Their background features a floor-to-ceiling window, through which we can see a Christmas tree outside, decorated with many purple lights."
1c4TYQghHUhz,Chinese,True,Chinese traditional music instrument.,https://voca.ro/1c4TYQghHUhz,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574272329748_0.jpg,这是一个古针古琴应该是一个古琴我们能看到这个琴上有镶嵌金色的暗纹木质的琴身是深色的而且在琴的两边都雕饰有花纹而且琴身旁边还带有一个琴碎从这个摆设陈列看应该是比较具有历史意义因为前面有一个名牌立起来的标签诉说着这个琴的来历这像是某个展示的环节或者是展品或者是博物馆在展出这种古琴这个古琴看起来保存完好并没有很大的损伤或者是经过了时间久远的磨损之后的任何很旧的感觉应该保存的非常完好从这个展品的底下铺的是一个粉色的布底后边我们还能看到一些其他的音乐器具比如说鼓还有一些其他的一个编中类型的一个螺或者是一个铜螺的一个音乐器所以这个展览看上去应该是某个古代乐器中国古乐器的展览感觉תיRyan小值钱\,False,"This is an ancient guqin, which should be a classic stringed instrument. We can see that the guqin has inlaid golden dark-patterned wood, and the body of the instrument is dark in color. Additionally, both sides of the guqin are adorned with carvings. The side of the guqin also features a fragment. From the display arrangement, it seems to have significant historical value, as there is a named plaque standing upright, detailing the origin of the instrument. This appears to be part of an exhibition, either as a display item or in a museum showcasing this ancient instrument. The guqin looks well-preserved, without significant damage or signs of wear due to the passage of time; it should be in excellent condition. Beneath this exhibit, there is a pink fabric underlay, and in the back, we can also see some other musical instruments, such as drums and various types of horn-like instruments, including a bronze horn. Thus, this exhibition appears to be a display of ancient musical instruments, specifically Chinese traditional instruments."
16djq0s6x5Am,English,True,Yes. The pin on Prime Minister Lee's left lapel suggests that this image is connected to Singapore.,https://voca.ro/16djq0s6x5Am,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941054276225809_0.jpg," This image presents a picture of a Prime Minister known as Lee Sien Loong, Singapore's former Prime Minister. The objects and their accounts are swallowed. This is a headshot of the Prime Minister. And basically, the Prime Minister is smiling very happily and very sincerely behind an orange and yellow background. There's no text and the positions of the object would simply be the fact that the Prime Minister is smiling in the centre of the image. With regard to subtle details, I note that the Prime Minister is wearing a small pin on his left collar. Although I can't really locate the image of the flag on the right, I suppose that it might be India and the flag on the left would be Singapore. This is likely indicative of a bilateral meeting. The Prime Minister himself is wearing a blazer and he is also wearing a checkered, a red tie with a formal white shirt. The Prime Minister's hair is green, suggesting that he's getting slightly older in age. But he's smiling very honestly. He's a well-respected leader in Singapore. With regard to the style and colour, this is a very nice headshot. With the Prime Minister's dress very smartly against a nicely coloured background as well. The contextual information that allows me to best understand the image will be the pin that's wearing on his left lapple, which suggests that this is a bilateral meeting. Although I think that this is a very nice headshot. I think that this is a very nice headshot.",False," This image presents a picture of a Prime Minister known as Lee Sien Loong, Singapore's former Prime Minister. The objects and their accounts are swallowed. This is a headshot of the Prime Minister. And basically, the Prime Minister is smiling very happily and very sincerely behind an orange and yellow background. There's no text and the positions of the object would simply be the fact that the Prime Minister is smiling in the centre of the image. With regard to subtle details, I note that the Prime Minister is wearing a small pin on his left collar. Although I can't really locate the image of the flag on the right, I suppose that it might be India and the flag on the left would be Singapore. This is likely indicative of a bilateral meeting. The Prime Minister himself is wearing a blazer and he is also wearing a checkered, a red tie with a formal white shirt. The Prime Minister's hair is green, suggesting that he's getting slightly older in age. But he's smiling very honestly. He's a well-respected leader in Singapore. With regard to the style and colour, this is a very nice headshot. With the Prime Minister's dress very smartly against a nicely coloured background as well. The contextual information that allows me to best understand the image will be the pin that's wearing on his left lapple, which suggests that this is a bilateral meeting. Although I think that this is a very nice headshot. I think that this is a very nice headshot."
1azilb6vnUxC,English,False,nan,https://voca.ro/1azilb6vnUxC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941044272139120_0.jpg," So this picture shows three kinds of food. On the left hand side is the fried chicken of the chicken wings. At the bottom is some rice and it's more like rats from Thailand, which looks very nice. And on the right hand side, I think it's some kind of Southeast Asia vegetables. They look quite... ...interesting and yummy. So this looks like a lunch in Southeast Asia country, like in Singapore. And the background of the food is a table with some red paper and the rest of the food. So this could be some of the food court in Singapore. Which is called Hockey Center.",False," So this picture shows three kinds of food. On the left hand side is the fried chicken of the chicken wings. At the bottom is some rice and it's more like rats from Thailand, which looks very nice. And on the right hand side, I think it's some kind of Southeast Asia vegetables. They look quite... ...interesting and yummy. So this looks like a lunch in Southeast Asia country, like in Singapore. And the background of the food is a table with some red paper and the rest of the food. So this could be some of the food court in Singapore. Which is called Hockey Center."
