id,image_url,language,caption
3853,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Russian_images/marry-2306-01.jpg,Russian,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Russian_images/marry-2306-01.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': "" The image features a man and a woman standing close to each other, with the man's hand placed on the woman's hand. The woman is wearing a wedding ring, indicating that they are likely a married couple. The man is also wearing a wedding ring, further emphasizing their commitment to each other. The scene appears to be a tender moment between the two, possibly celebrating their love and the bond they share.""}]"
2610,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000077102.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000077102.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a kitchen with a variety of potted plants placed on the windowsill. There are at least six potted plants of different sizes, creating a lively atmosphere. The kitchen also has a dining table with a bowl and a cup on it, as well as a vase and a bottle nearby. \n\nIn addition to the plants, there are two bottles, one on the left side of the kitchen and the other on the right side. A cup is placed on the dining table, and a vase can be seen close to the table. A spoon is also visible on the table, indicating that the kitchen is well-equipped for cooking and dining.'}]"
863,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594277937361_0.jpg,Chinese,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594277937361_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a table with a Jio Digital Life card placed on it. The card is orange and has a blue and white design. The table appears to be a dining table, and the card is the main focus of the scene.'}]"
1389,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Spanish_images/5865667064273809917_0.jpg,Chinese,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Spanish_images/5865667064273809917_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a close-up of a package of coffee, likely a bag of Legitimo Noruego coffee. The coffee bag is placed on a wooden table, and the focus is on the coffee bag itself. The coffee bag is adorned with a horse and a rider, adding a unique and visually appealing touch to the packaging.'}]"
3764,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Korean_images/food-4848-92.jpg,Korean,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Korean_images/food-4848-92.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': "" The image features a white cat sitting on a carpeted floor, eating from a bowl of food. The cat is focused on the bowl, which is placed on the floor in front of it. The scene captures the cat's attention and its natural instinct to eat.""}]"
2286,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000044263.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000044263.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': "" The image depicts a cozy living room with a television on the right side of the room. The room is filled with various items, including a potted plant near the left side of the room, a bookshelf with numerous books, and a suitcase placed in the middle of the room. \n\nIn addition to the books and suitcase, there are several bottles scattered throughout the room, with some placed near the left side and others near the right side. A vase can also be seen on the left side of the room, adding to the room's decor. The room is well-lit, with a window providing natural light.""}]"
786,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593584274675889_0.jpg,Chinese,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593584274675889_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a large, colorful building with a red roof, situated in front of a majestic mountain. The building appears to be a temple, with a clock tower and a statue of a person on the front. The mountain in the background is covered in snow, adding to the breathtaking scenery. The combination of the temple, the clock tower, and the snow-covered mountain creates a picturesque and serene atmosphere.'}]"
1302,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743594277706023_0.jpg,Chinese,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743594277706023_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a large tray filled with various types of sushi rolls. The sushi rolls are arranged in different shapes and sizes, creating an appetizing display. The tray is placed on a dining table, which occupies the majority of the scene. The sushi rolls are the main focus of the image, showcasing the delicious and diverse options available.'}]"
3775,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Korean_images/marriage-317-26.jpg,Korean,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Korean_images/marriage-317-26.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image depicts a large group of people gathered in a room, sitting on chairs and listening to a speaker. The audience is composed of various individuals, some of whom are wearing ties. The room is filled with chairs, and some people are standing as well.\n\nThere are several potted plants placed around the room, adding a touch of greenery to the space. A few books can be seen on a surface, possibly indicating a presentation or a discussion. The overall atmosphere suggests a formal event or a gathering where people are engaged in a shared activity.'}]"
941,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593604277624480_0.jpg,Hindi,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593604277624480_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': "" The image features a man standing on a sandy beach, praying with his hands folded. He is wearing a pink shirt and white pants. The beach is adorned with a beautiful display of flowers, creating a serene and peaceful atmosphere.\n\nIn the background, there are several boats scattered across the water, adding to the picturesque scene. The combination of the man's prayer, the flowers, and the boats creates a captivating and tranquil moment.""}]"
