image_link,question,answer
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271108275_0.jpg,What agricultural technique is used to cultivate crops on steep hillsides?,Terraced fields
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271108275_0.jpg,Which specific crop is likely being grown in these terraces?,Rice
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271108275_0.jpg,Which region is particularly famous for terraced fields originating from its agricultural civilization?,Southern China
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271349335_0.jpg,What dynasty does the bronze galloping horse belong to?,Han dynasty
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271349335_0.jpg,What does the horse symbolize in Chinese culture?,divine power
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271436458_0.jpg,What unique markings are found around the bird's eyes?,vivid red markings
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271436458_0.jpg,What color are the feathers extending from the bird's chin?,white feathers
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271436458_0.jpg,What feature of the bird's beak is distinctively colored?,white tip
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271622920_0.jpg,What plays a significant role in this temple's religious practices?,censor for burning incense
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271622920_0.jpg,What does the gourd design symbolize in Chinese art?,fertility and abundance
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271622920_0.jpg,What style is the text rendered in?,traditional Chinese characters
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271717886_0.jpg,What traditional Chinese instrument is the man playing?,erhu
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271717886_0.jpg,What is the significance of the teapot and cups in the scene?,cultural practice of tea drinking
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271717886_0.jpg,What vintage aesthetic is evoked by the man's seating?,1960s or 1970s nostalgia
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271879839_0.jpg,"What cultural festival might this crowd be waiting for, possibly related to the tide?",tide-viewing event
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664271879839_0.jpg,What historical structure is present in the scene?,an ancient tower
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272109734_0.jpg,What is the possible genus of the flower described?,Camellia
