id,language,culturally_distinct,cultural_distinction_explanation,vocaroo_link,image_link,transcription,selected_other_languages
15klNPFs3bjC,English,False,,https://voca.ro/15klNPFs3bjC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/yearly_sprite_billboard_music_award_ceremony-1140-79.jpg,"["" I'm not willing to complain, but I have seen this image again, but I'll give it a go. We are looking at a man holding up some rewards at apparently our own awards show. I guess they've done quite well as he is holding up three awards. The primary colors here are blue and green, which represent just primarily the background, the semi-yellow, and then let me jump into the outfit of this guy, black suit pop, you know, casual white pants, brown belt, straight black, white, blue, and gray t-shirt dress shirt. Here's like the image was taken in 2007 or as in remembrance of something that happened in 2007, you never know. And yeah, other than that, if I look a little bit more in the background, why don't we zoom in? Is Asian iconography? It's like it's a music show given that there's a music note for the background.""]",False
15NsQqEoyjby,English,False,,https://voca.ro/15NsQqEoyjby,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910684273870573_0.jpg,"["" This image shows a large white and red fortress that is built on a hill with deep blue skies and mountains in the background. We see a large palace or monastery, white staircases, mountain landscape, and bright blue skies and clouds. There's no visible text in this image. The palace is positioned on the upper part of the hill, appearing grand a dominant. The white staircase is the exact that's the slope and mountains are in the background. We also notice that there's a contrast between the white walls and the red upper sections which add to the majestic look of the building and a clear blue sky and surroundings indicated a high altitude location. For the background, the mountain ranges into blue sky with some clouds create a nice backdrop. There's in regards to the silent color. This looks that's white walls with red and gold accents and naturally a natural earthy tones up from the landscape. This looks like a location with significant apologist significance and it's also looks to be like a remote and elevated setting which with high altitudes. So it probably has some sort of deep cultural and historical importance.""]",False
1hU5twD8Pqxx,English,False,,https://voca.ro/1hU5twD8Pqxx,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941064277959441_0.jpg,"["" So in this image there's a black background and it seems to be really high quality because the flower, they're sort of like two different sets of flowers but they're the same flowers but they're in like two different clusters or groupings. So there are flowers in the forefront that are very high quality. They're purple and white and then in the background are those same exact flowers as well except that they're slightly out of frame so they're out of focus. There are, each cluster has around like four different heads of flowers in them. You can see in the background a little bit of green which is probably like the stem that the flowers are connected to. The flowers if I could describe them they kind of look like their butterflies and I'm assuming they're kind of like smaller in terms of like head size than like a rose or whatever. And they don't appear, the petals seem to be sort of like almost an axe head or a butterfly where it's not like completely surrounding the sort of like middle part but it's kind of just like you know framing it along the left and the right.""]",False
17QTBVV9DwQh,Chinese,True,Korean words.,https://voca.ro/17QTBVV9DwQh,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574279238671_0.jpg,['在画面的正中央是一个蓝色的金属的指示盘蓝色的底黄色的一块显示的像是一个火车或者地铁的一个标志图画数字显示的是11上面的文字是韩国文字从这个背景的天气来看现在是晚上照这个照片旁边还有路灯从樹上掉落的一页子已经掉突来看应该是球机或者是冬季樹上一片樹也没有只有干枯的樹差旁边应该就是整个地铁站是金属和玻璃制程的整个图片应该是描述的是城市里面的一处地铁站第11号地铁口由于写的是韩文我们看不懂不过可以确定的是这个图片应该是照的是韩国的某个城市里的一个地铁站底下还有一些小字的描述但是图片不是很清晰所以看不清楚后面还能看到一些高楼和灯牌建筑物路灯正在照亮接到'],False
1absWzXeq2BS,English,False,,https://voca.ro/1absWzXeq2BS,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000079441.jpg,"["" I see a table, lots of white glasses, two green bottles and a white bottle. Lots of bottles, there's a treatment background.""]",True
1d9YokzVqVVH,English,False,,https://voca.ro/1d9YokzVqVVH,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000027329.jpg,"[' This is a backlit image of a flower which is in a room with other plants in the back. The flowers, the bouquet flowers, is in a vase. The flowers are red and orange and yellow.']",False
12rA8dOZvit5,English,True,Asian Banner,https://voca.ro/12rA8dOZvit5,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg,"["" This is an Asian banner that's vertically arranged grid. There are two vertical columns of Asian script with a red background on either side of the image grid. There's a transverse column of red background and Asian script along the upper part of the image period. The three sub parts of the banner have an H orientation period below the transverse part of the H. There are images of two Asian creatures that appear to be monkeys or lions that are facing each other period. The background of these images is yellow and the creatures themselves are in a red period. The medium seems to be ink and paint on paper period.""]",False
1aMp3E2cG77F,Hindi,True,The image is of a very popular tree leaves from India.,https://voca.ro/1aMp3E2cG77F,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594271459840_0.jpg,"[' Chitra, neem patiyaan, neem patiyaan, Chitra, vaarat ke, bahad ki, hiski, bahad, beshejta, aikki, patiyaamhaat, kadviya, magar, inki, bahad hi, ashidik, vautiye, zarurat. Shukhakar, jeze anaj mein rakhi, hiski, ashidiya, paura, vrakshi, bahad, mme, kaamat, jeze szeiski, dandia, datun ke tare, subha, kaamat hi, kye patiyaan, ko, ubhal ke, jeze szeiske, phalo ko, ubhal ke, bhi, dawayya, banei, jatiye, aur, bhukhar ke, samaye, diya, jata hai. ھن் பத்திوں کی கடவாٹ ہوتی ہے, اس سے بہتی کیٹனாஸگ می் விழையாதے ہیں اور پیٹھ்வچھوں کے நஞ்சமிக்கோ پیٹھ میں கிடے ہو்றے ہیں ہوں்னும் இவ்வளவு விழையாதے ہیں یہ விழையாதேன் விழையாதேன் اور வாரத کا இங்கு விழையாதேன் முக்கு விழையாதேன் اس کے நிஞ்சைக்கு விழையாதேன் இவ்வளவு விழையாதேன் இவ்வளவு விழையாதேன் இவ்வளவு விழையாதேன் இவ்வளவு விழையாதேன் இவ்வளவு விழையாதேன் இவ்வளவு விழையாதேன் இவ்வளவு விழையாதேன்']",False
1kyS0SAGiS4G,Chinese,False,,https://voca.ro/1kyS0SAGiS4G,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/queen_of_no_marriage-1506-48.jpg,['这张图片应该是一个句招画面里有两个人一男一女男生测对着镜头是短头发穿着一个黑色的皮加克里面套了一个黄色的外套然后那搭是白色的上面有黑色条纹和一些黑色看不清的英文字母还带着一条黑色的猪子的相链然后穿着一条黑色的裤子女生站在画面的右边女生是短头发然后烫成了那种不波头然后穿了一个白色的外套里面是白色内搭然后手上还拿着一个白色的类似风硬样的外套然后他的一只手被男生抓住了哥伯另外一只手拿着外套跨着一个黑色的皮包然后他们的背景是一个落地的窗户窗户外面能看到一颗上面有着很多紫色亮灯的盛干树'],False
1niYEh6t4sSp,Chinese,False,,https://voca.ro/1niYEh6t4sSp,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000067647.jpg,[' 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 tbh 1 없� вход ADHD'],False
