id,language,culturally_distinct,cultural_distinction_explanation,vocaroo_link,image_link,transcription,selected_other_languages,translation
15klNPFs3bjC,English,False,nan,https://voca.ro/15klNPFs3bjC,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/yearly_sprite_billboard_music_award_ceremony-1140-79.jpg," I'm not one to complain, but I have seen this image again, but I'll give it a go. We are looking at a man holding up some rewards at apparently an awards show. It appears to have done quite well as he is holding up three awards. The primary colors here are blue and green, which represent just primarily the background. There's some yellow, and then let me jump into the outfit of this guy. Black suit top, casual white pants, brown belt, striped black, white, blue, and gray dress shirt. It feels like this image was taken in 2007 or is in remembrance of something that happened in 2007. You never know. And yeah, other than that, if I look a little bit more in the background, why don't we zoom in? Here's Asian iconography. It looks like it's a music show, given that there's a music note for the background.参каем the mostui 책s that shows this specialる theme of 24 khun sequence. It looks like it's a great idea of that. It looks like it's a marketing show and you can see accessories. A fantastic idea of a allen's way to download thisIS aos focus willst photos and damit by it. You're the only one thing you can see that a Flashicio has been downloaded, she's done in the season, has a cardic giving form. Out Citizenship Magid Parakut pL in the top 10. John has said Lexusfang, talked about sides Elo数 years ago and you are able to believe What other than you weigh about the word況 this way.",False," I'm not one to complain, but I have seen this image again, but I'll give it a go. We are looking at a man holding up some rewards at apparently an awards show. It appears to have done quite well as he is holding up three awards. The primary colors here are blue and green, which represent just primarily the background. There's some yellow, and then let me jump into the outfit of this guy. Black suit top, casual white pants, brown belt, striped black, white, blue, and gray dress shirt. It feels like this image was taken in 2007 or is in remembrance of something that happened in 2007. You never know. And yeah, other than that, if I look a little bit more in the background, why don't we zoom in? Here's Asian iconography. It looks like it's a music show, given that there's a music note for the background.参каем the mostui 책s that shows this specialる theme of 24 khun sequence. It looks like it's a great idea of that. It looks like it's a marketing show and you can see accessories. A fantastic idea of a allen's way to download thisIS aos focus willst photos and damit by it. You're the only one thing you can see that a Flashicio has been downloaded, she's done in the season, has a cardic giving form. Out Citizenship Magid Parakut pL in the top 10. John has said Lexusfang, talked about sides Elo数 years ago and you are able to believe What other than you weigh about the word況 this way."
15NsQqEoyjby,English,False,nan,https://voca.ro/15NsQqEoyjby,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910684273870573_0.jpg," This image shows a large white and red fortress that is built on a hill with deep blue skies and mountains in the background. We see a large palace or monastery, white staircases, mountain landscape, and bright blue skies and clouds. There's no visible text in this image. The palace is positioned on the upper part of the hill, appearing grand and dominant. The white staircase zigzags up the slope. The mountains are in the background. We also notice that there's a contrast between the white walls and the red upper sections, which add to the majestic look of the building. And the clear blue sky and surroundings indicate a high altitude location. For the background, the mountain ranges and deep blue sky with some clouds create a nice backdrop. There's, in regards to the style and color, this looks, there's white walls with red and gold accents and naturally, unnatural earthy tones from the landscape. This looks like a location with significant villages significance. And it's also, it looks to be like a remote and elevated setting, which, with high altitudes. Altitudes. So, it probably has some sort of deep cultural and historical importance.",False," This image shows a large white and red fortress that is built on a hill with deep blue skies and mountains in the background. We see a large palace or monastery, white staircases, mountain landscape, and bright blue skies and clouds. There's no visible text in this image. The palace is positioned on the upper part of the hill, appearing grand and dominant. The white staircase zigzags up the slope. The mountains are in the background. We also notice that there's a contrast between the white walls and the red upper sections, which add to the majestic look of the building. And the clear blue sky and surroundings indicate a high altitude location. For the background, the mountain ranges and deep blue sky with some clouds create a nice backdrop. There's, in regards to the style and color, this looks, there's white walls with red and gold accents and naturally, unnatural earthy tones from the landscape. This looks like a location with significant villages significance. And it's also, it looks to be like a remote and elevated setting, which, with high altitudes. Altitudes. So, it probably has some sort of deep cultural and historical importance."
1hU5twD8Pqxx,English,False,nan,https://voca.ro/1hU5twD8Pqxx,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865941064277959441_0.jpg," So, in this image, there's a black background, and it seems to be really high quality, because the flower, there's sort of like two different sets of flowers, but they're the same flowers, but they're in like two different clusters or groupings. So, there are flowers in the forefront that are very high quality. They're purple and white, and then in the background are those same exact flowers as well, except that they're slightly out of frame, so they're out of focus. Each cluster has around like four different heads of flowers in them. You can see in the background a little bit of green, which is probably like the stem that the flowers are connected to. The flowers, if I could describe them, they kind of look like they're butterflies, and I'm assuming they're kind of like smaller in terms of like head size than like a rose or whatever, and they don't appear, the petals seem to be sort of like almost an axe head or a butterfly, where it's not like completely surrounding the sort of like middle part, but it's kind of just like, you know, framing it along the left and the right.",False," So, in this image, there's a black background, and it seems to be really high quality, because the flower, there's sort of like two different sets of flowers, but they're the same flowers, but they're in like two different clusters or groupings. So, there are flowers in the forefront that are very high quality. They're purple and white, and then in the background are those same exact flowers as well, except that they're slightly out of frame, so they're out of focus. Each cluster has around like four different heads of flowers in them. You can see in the background a little bit of green, which is probably like the stem that the flowers are connected to. The flowers, if I could describe them, they kind of look like they're butterflies, and I'm assuming they're kind of like smaller in terms of like head size than like a rose or whatever, and they don't appear, the petals seem to be sort of like almost an axe head or a butterfly, where it's not like completely surrounding the sort of like middle part, but it's kind of just like, you know, framing it along the left and the right."
17QTBVV9DwQh,Chinese,True,Korean words.,https://voca.ro/17QTBVV9DwQh,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574279238671_0.jpg,在画面的正中央呢是一个蓝色的金属的指示牌蓝色的底黄色的一块显示的像是一个火车或者地铁的一个标志图画数字呢显示的是11上面的文字呢是韩国文字从这个背景的天气来看现在是晚上照这个照片旁边还有路灯从树上掉落的叶子已经掉凸来看应该是秋季或者是冬季树上一片树也没有只有干枯的树叉旁边这个应该就是整个这个地铁站是金属和玻璃制成的这个整个图片应该是描述的是城市里边的一处地铁站第11号地铁口由于写的是韩文我们看不懂不过可以确定的是这个图片应该是照的是韩国的某个城市里的一个地铁站底下还有一些小字的描述但是图片不是很清晰所以看不清楚后面还能看到一些高楼和灯牌建筑物路灯正在照亮街道าย Kurかback cards我明天啊有点�iss väldigt Eck,False,"In the center of the image is a blue metal sign with a blue background and a yellow display that looks like a logo of a train or subway. The number displayed is 11, and the text above is in Korean. Judging by the background weather, it is currently evening; the photo shows streetlights, and the leaves falling from the trees indicate that it should be autumn or winter. There are no leaves on the trees, just dry branches. This appears to be an underground subway station, made of metal and glass. The entire image seems to depict a subway station located in a city, specifically the entrance to subway line number 11. Since the sign is in Korean, we cannot understand it, but we can ascertain that this picture is likely taken in a subway station in a city in South Korea. There are also some small descriptions at the bottom, but the image is not very clear, so it is hard to read. In the background, you can see some tall buildings and lighted signs, with streetlights illuminating the streets."
1absWzXeq2BS,English,False,nan,https://voca.ro/1absWzXeq2BS,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000079441.jpg," I see a table, lots of white glasses, two green bottles and a white bottle. Lots of bottles. There's a tree in the background.",True," I see a table, lots of white glasses, two green bottles and a white bottle. Lots of bottles. There's a tree in the background."
1d9YokzVqVVH,English,False,nan,https://voca.ro/1d9YokzVqVVH,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000027329.jpg," This is a backlit image of a flower which is in a room with other plants in the back. The flowers, the bouquet of flowers in a vase and the flowers are red and orange and yellow.",False," This is a backlit image of a flower which is in a room with other plants in the back. The flowers, the bouquet of flowers in a vase and the flowers are red and orange and yellow."
12rA8dOZvit5,English,True,Asian Banner,https://voca.ro/12rA8dOZvit5,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910674271780257_0.jpg," This is an Asian banner that's vertically arranged period. There are two vertical columns of Asian script with a red background on either side of the image period. There is a transverse column of red background and Asian script along the upper part of the image period. The three sub parts of the banner have an H orientation period below the transverse part of the H. There are images of two Asian creatures that appear to be monkeys or lions that are facing each other period. The background of these images is yellow and the creatures themselves are in red period. The medium seems to be ink and paint on paper period. Ready, ready, ready!",False," This is an Asian banner that's vertically arranged period. There are two vertical columns of Asian script with a red background on either side of the image period. There is a transverse column of red background and Asian script along the upper part of the image period. The three sub parts of the banner have an H orientation period below the transverse part of the H. There are images of two Asian creatures that appear to be monkeys or lions that are facing each other period. The background of these images is yellow and the creatures themselves are in red period. The medium seems to be ink and paint on paper period. Ready, ready, ready!"
1aMp3E2cG77F,Hindi,True,The image is of a very popular tree leaves from India.,https://voca.ro/1aMp3E2cG77F,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594271459840_0.jpg, यहां चित्र नीम की पत्यों का चित्र है यह भारत के बहुत ही इसकी बहुत विशेश्टा है कि यह पत्यां बहुत कड़वी होती हैं मगर इनकी बहुत ही औशदिक वो होती है जरूरत और यह सुखाकर जैसे अनाज में रखी जाती है इसकी औशदिया बनाई जाती है यह पूरा की पूरा व्रक्ष ही भारत में काम आता है जैसे इसकी डंडियां डातून के तरह सुख काम आती है यह पत्यों को उबालके इसके फलो को उबालके भी दवाया बनाई जाती है और वुखार के समय दिया जाता है इन पत्यों की जो क जिनको पेट में केड़े हो रहे होते हैं उनको भी दिया जाता है यह वरक्ष बहुत ही बड़ा और चायादार होता है और भारत का एक बहुत ही प्रमुक वरक्षों में से एक है इसके नीचे गर्मियों में इसके नीचे बहुत ही ठंडी हवा चलती है اور इसके असपास हवा भहुत ही शुद्ध होती है इसलिए ये घरों में भी लगाय जाता है,False,"This is a picture of neem leaves. In India, one of its significant features is that these leaves are very bitter, yet they have powerful medicinal properties. They are dried and stored like grains, and medicines are prepared from them. The entire tree is useful in India. For instance, its branches are used as miswak sticks. Medicines are also prepared by boiling the leaves and fruits, which are given during fevers. These leaves are also administered to those suffering from stomach worms. The neem tree is quite large and provides ample shade, making it one of the most prominent trees in India. In the summer, there is a cool breeze under its canopy, and the air around it is very pure, which is why it is also planted around homes."
1kyS0SAGiS4G,Chinese,False,nan,https://voca.ro/1kyS0SAGiS4G,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/queen_of_no_marriage-1506-48.jpg,"这张图片应该是一个剧照,画面里有两个人,一男一女,男生侧对着镜头,是短头发,穿着一个黑色的皮夹克,里面套了一个黄色的外套,然后那搭是白色的,上面有黑色条纹和一些黑色看不清的英文字母,还戴着一条黑色的珠子的项链,然后她穿着一条黑色的裤子,女生站在画面的右边,女生是短头发,然后烫成了那种拨拨头,然后她穿了一个白色的外套,里面是白色内搭,然后她手上还拿着一个白色的类似风一样的外套,然后她的一只手被男生抓住了胳膊,另外一只手拿着外套,挂着一个黑色的皮包,然后她们的背景是一个落地的窗户,窗户外面能看到一棵上面有着很多紫色亮灯的圣诞树,",False,"This image is likely a still from a play or movie. In the picture, there are two people, a man and a woman. The man is facing sideways towards the camera; he has short hair and is wearing a black leather jacket over a yellow coat. The coat is white, featuring black stripes and some indistinct black letters. He also has a black beaded necklace. The woman is standing on the right side of the frame; she has short hair styled in a wavy manner and is dressed in a white coat with a white top underneath. She is holding a white coat that resembles a windbreaker, with one of her arms being held by the man while her other hand is holding the coat. She has a black leather bag hanging from her arm. In the background, there is a floor-to-ceiling window, through which a Christmas tree adorned with many purple lights can be seen outside."
1niYEh6t4sSp,Chinese,False,nan,https://voca.ro/1niYEh6t4sSp,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000067647.jpg,字幕志愿者 杨茜茜字幕志愿者 杨茜茜字幕志愿者 杨茜茜,False,Transcription: Subtitle volunteer Yang Qianqian. Subtitle volunteer Yang Qianqian. Subtitle volunteer Yang Qianqian. Subtitle volunteer Yang Qianqian.
