id,image_url,language,caption
1096,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574276256813_0.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574276256813_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a large collection of clay pots and vases, arranged in various sizes and shapes. The pots are placed on a dirt ground, creating a visually appealing display. Some of the pots are placed closer to the foreground, while others are positioned further back in the scene. The arrangement of these pots and vases creates an interesting and eye-catching display.'}]"
1083,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574274919286_0.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574274919286_0.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a beautiful waterfall surrounded by lush greenery. The waterfall is located in a valley, and the surrounding area is filled with trees and bushes. The waterfall is situated in the middle of the scene, with the surrounding vegetation creating a serene and picturesque environment.'}]"
1953,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000016875.jpg,Korean,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000016875.jpg'}, {'type': 'text', 'text': '이 이미지에 대한 자세한 캡션을 작성하세요.'}]}, {'role': 'assistant', 'content': ' A man wearing glasses is lying in bed, with a cat sitting on his chest. The man appears to be sleeping or resting, while the cat is comfortably positioned on his body. The scene captures a moment of relaxation and companionship between the man and his cat.'}]"
122,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272109734_0.jpg,Chinese,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272109734_0.jpg'}, {'type': 'text', 'text': '为这张图片写一个详细的标题。'}]}, {'role': 'assistant', 'content': ' A yellow flower with orange pollen sits on a green leaf.'}]"
3847,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Russian_images/festival-9188-92.jpg,Russian,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Russian_images/festival-9188-92.jpg'}, {'type': 'text', 'text': 'Напишите подробную подпись к этому изображению.'}]}, {'role': 'assistant', 'content': ' A beautiful firework display in the sky.'}]"
2759,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000091442.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000091442.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The scene features a yellow tow truck parked on the side of a road, with a bus in the background. The tow truck is positioned in front of the bus, and a yellow caution tape is stretched across the street, blocking the way. \n\nThere are several people in the scene, with one person standing close to the tow truck, another person near the bus, and two more people further away from the tow truck. A stop sign is visible on the right side of the scene, and a fire hydrant can be seen on the left side of the road.'}]"
3593,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/venue_awards_ceremony_items_notes-816-38.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/venue_awards_ceremony_items_notes-816-38.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a man wearing a green and white shirt, holding a small red and black guitar. He appears to be singing into a microphone, capturing the attention of the audience. The man is standing in front of a stage, and there is a chair located in the background. The scene suggests that the man is performing in front of an audience, possibly at a concert or event.'}]"
865,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594277937361_0.jpg,Hindi,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594277937361_0.jpg'}, {'type': 'text', 'text': 'इस छवि के लिए एक विस्तृत कैप्शन लिखें।'}]}, {'role': 'assistant', 'content': ' इस छवि के लिए एक विस्तृत कैप्शन लिखें।'}]"
1903,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000012895.jpg,English,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000012895.jpg'}, {'type': 'text', 'text': 'Write a detailed caption for this image.'}]}, {'role': 'assistant', 'content': ' The image features a giraffe standing in a fenced-in area, surrounded by trees. The giraffe is looking up, possibly observing the leaves on the trees. The fence is visible in the foreground, and the trees are scattered throughout the scene, providing a natural environment for the giraffe.'}]"
2347,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000053037.jpg,Chinese,"[{'role': 'user', 'content': [{'type': 'image', 'url': 'https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000053037.jpg'}, {'type': 'text', 'text': '为这张图片写一个详细的标题。'}]}, {'role': 'assistant', 'content': ' A cozy living room with a couch, a laptop, and a dining table.'}]"
