id,culturally_distinct,language,cultural_distinction_explanation,vocaroo_link,image_link,transcription
1i2SnHCmqJDb,False,Unknown,,https://voca.ro/1i2SnHCmqJDb,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000020720.jpg,圖片中是一张桌子桌子上面放着一个电脑电脑上面有一后面有一个显示品上面写着推了的logo旁边放了一带红色的包装带包装带里面可能是咖啡所以这个说字上的物品一共有四件分别是一个硬盘电脑显示器和包装带上面的文字写的是推特包装带上没有写具体的标志他们都分别放在桌子上面也就在图片的中间或者偏右的位置值得注意的地方是他们在一个很荒暗的环境桌子上因为是前色的所以有一点反光它的背景我认为是一个办公室它的颜色和风格是偏黑暗偏暗淡的色调
1kXXrySwcggs,False,Unknown,,https://voca.ro/1kXXrySwcggs,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000036460.jpg,在途中我们可以看到是一个男人推这小推车小推车上面有很多相交后面还站着其他的人他们在一个铁栏桿面前后面还有其他的商贩和一些做程等待的人这里面一共有六个人其中有四五个大人一个小孩在后面的牌子上面换了一个热气球和一些标语推着相交的人站在图片的整中间后面有一些卖其他水果人他的旁边还有两个等待的人值得注意的是这些人看起来像拉美艺人他们在一个比较破旧的地方图片的左上角还有一辆汽车他们的背景是有很多其他人在卖东西后面还有一个广告牌他的风格是比较破旧的颜色是比较混暗的
12KZoLJIUIAa,False,Unknown,,https://voca.ro/12KZoLJIUIAa,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000020720.jpg, At first glance this appears to be like an empty office space. There is a table. There's just one table and the background is very dark. There is a computer with some tiny text on the screen that's not very readable. And there's a monitor behind that is completely black other than the word Twitter. To the left it appears to be like a bag of coffee or something else. On it it says ritual and there might be a USB there as well. And just a bunch of chords on the table. Some of the text says first day on the job. And the background there appears to be some sort of window with a screen that has a bunch of grid lines. So yeah some of the subtle details are pretty readable and noticeable like the details on the red bag and the tiny text on the screen but everything else is kind of hard to read since the rest of the image appears to be black.
1opsowKYeltT,False,Unknown,,https://voca.ro/1opsowKYeltT,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000072550.jpg,这个照片是一个黑白颜色的照片然后看到一辆很久的车拖着另外一个很久的车这个照片似乎在80年代的时候或者更早然后有一个男人在拖有两个男人似乎在修着一辆车或者把一辆车放在另外一个辆车上面然后这个大的台车在拖着另外一辆车里面上然后这个背景它是在一个乌子的前面然后有一些树在旁边然后似乎是冬天因为那些树都没有叶子了
182UBwjrJjtQ,True,Unknown,"Classic British station name, ""underground"", and double-decker red bus",https://voca.ro/182UBwjrJjtQ,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000017192.jpg," Here we could see the entrance to some sort of transportation node. In the immediate foreground, we have what appears to be text that labels a gate on top of the gate, but we are facing it from the opposite side so we cannot read what it says. Further along, there appears to be some sort of hub with many people walking underneath the hub. On the top of the hub, it says King's Cross, which appears to be a station name, as well as a double-decker red bus labeled 63 to the right. There's also a sign that says underground, which could signify that in addition to this being a bus stop, there is an underground bus. There's also a subway station underneath or alongside the station. In the background, there appears to be a similar hub that says something else, as well as several stores and pedestrian roads. There are many people underneath the awning because it appears like the building is sort of on top of the people. There's also a blue sign next to the underground sign where the blue sign perhaps gives additional information and has a picture of a bus."
14aY1sbMTLA1,False,Unknown,,https://voca.ro/14aY1sbMTLA1,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000093893.jpg,"这都是好多小玩具,有六个小熊,两个是前中色,两个是山中色,然后两个是灰色,在左边做三个,先是山中色,然后灰色,然后前中色,在右边是先是前中色,山中色,然后灰色,他们都在做在一个桌子上,就是一个木头的桌子,他们都在吃蛋糕,还是很跑胞,他不清楚,然后有三个小小狄子在中间可能是喝的,还是点的东西,然后在桌子底下就是玉草,他们都在做在一个木头的桌子上是中字的,然后我墙上都是白色,在后面没有什么东西。"
1n9NN8J1KeI5,False,Unknown,,https://voca.ro/1n9NN8J1KeI5,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000015354.jpg, This is just an image of a young woman reading in the park. She is sitting on a green bench with a maroon brownish bag with a plastic bag inside of it. She's wearing a blue dress that goes down to her knees and brown flip-flops. She has headphones on that are wired and looked around her ear. She has blue eyes and light brown hair. The book she's reading is white and she appears to be married because she's wearing a ring on her ring finger on her left hand and a black watch. In the background there is the base of a tree and a bunch of green foliage. So it's very clear that she's sitting at the park. There appears to be some sort of like lamp in the background as well and some holes and wires so we know it's like maybe the city or the suburbs.
18QPuuqnD5Wv,False,Unknown,,https://voca.ro/18QPuuqnD5Wv,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000093018.jpg,这个照片就是好多人在吃早饭做在桌子上在桌子上就是好多面包还有四个盘子还有七个杯子和四个五个小子和两个叉子和一个刀盘子都是白色然后在中间有个碗碗里就有很多不同的面包然后有好多小碗有不同的水果和别的东西有几个杯子还有两个人做在一个黄色的沙发上有个小盘在盘上写的是B-Winning Map
1bW1I04RPUSZ,False,Unknown,,https://voca.ro/1bW1I04RPUSZ,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000007856.jpg," This is a close image of a meal. The food appears to be on a blue plate. On the left we have some green and yellow diced vegetables. In the center we have some pieces of broccoli, two of the pieces are clear and the other pieces are a lot blurrier. To the right we have half of a piece of bread with some butter spread on top of it. On the bottom left we have some cooked meat that appears to either be like pork or turkey or something of the like, but it's slightly burnt around the edges. This is a close-up shot where all of the objects that are in the foreground are very clear but all of the objects in the back are very blurry. So in the foreground you can see the water and moisture on the plate whereas in the back you cannot."
17tE8dnpWN7I,False,Unknown,,https://voca.ro/17tE8dnpWN7I,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000091374.jpg," This is a living room with a couch and an armchair with a footrest in the corner. There is a very colorful rug with a table on it and some little trinket in the center of the table with four people. There's also a green book next to it. There is a bunch of wood paneled floors and all the walls are white. There are two windows with some curtains at the top. There's also a table in the further back and a cabinet to the left. There appears to be a strange black box, maybe a furnace with a black pipe leading up against a brick wall. There are three framed pictures that are hanging on the back wall. There's also a lamp shade and two candle holders that are on the back table. There are also some potted plants as decoration in the very back corner of the room."
