id,image_url,language,caption
1096,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574276256813_0.jpg,English,"In this vibrant outdoor scene, a collection of traditional earthenware jars, known as “onggi,” are arranged amidst a lush garden. Each jar, with its distinct shapes and sizes, showcases the artistry of Korean pottery, often used for fermenting and storing various foods like kimchi and soy sauce. The sun casts gentle shadows across the earthy tones of the jars, enhancing their rustic charm. Surrounding foliage and a neatly trimmed bush add a touch of greenery, creating a serene and inviting atmosphere. This image reflects both cultural heritage and the functionality of traditional craftsmanship, highlighting the importance of these containers in preserving and enhancing Korean culinary traditions."
1083,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Korean_images/5865743574274919286_0.jpg,English,"Nestled within a lush, verdant landscape, this breathtaking scene features a serene waterfall cascading gracefully into a tranquil pool. The two streams of water emerge from the rocky cliffs, surrounded by dense foliage that showcases a vibrant palette of greens. The still water reflects the surrounding greenery and the overcast sky, creating a sense of calm and serenity. A small island of grass can be seen in the foreground, adding a touch of natural beauty to the composition. The path along the right leads visitors closer to the water’s edge, inviting exploration and connection with this picturesque oasis. This image captures the peaceful essence of nature, highlighting the splendor of untouched landscapes that offer a perfect retreat from the hustle and bustle of everyday life."
1953,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000016875.jpg,Korean,"이 이미지는 침대에서 잠을 자고 있는 남성과 그의 곁에 있는 고양이를 보여줍니다. 남자는 안경을 쓰고 있으며, 놀란 표정을 짓고 있어 마치 악몽에서 깨어난 듯한 모습입니다. 그의 손은 이불 위에 놓여 있는데, 잡은 손 모양으로 보아 어떤 긴장감을 나타내고 있습니다. 고양이는 남자의 곁에 편안히 누워 있으며, 카메라를 바라보는 듯한 인상입니다. 주변은 따뜻한 빛으로 감싸여 있으며, 배경은 나무로 된 벽과 조명이 어우러져 아늑한 분위기를 형성하고 있습니다. 전체적으로 이 장면은 불안과 편안함이 대조된 독특한 느낌을 줍니다."
122,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Chinese_images/5865910664272109734_0.jpg,Chinese,"""绚丽的黄色茶花盛开于生机盎然的绿叶之间，细腻的花瓣和鲜艳的雄蕊构成了一幅自然的画卷，展现出春天的生机与美丽。"""
3847,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Russian_images/festival-9188-92.jpg,Russian,"На изображении представлено зрелищное фейерверкное шоу, которое наполняет ночное небо яркими и разнообразными цветами. Яркие взрывы огня освещают атмосферу, создавая волшебную и праздничную атмосферу. Разнообразие форм и цветов фейерверков, от белых и желтых до зеленых и красных, демонстрирует невероятный визуальный эффект, подчеркивая красоту и динамичность этого светового представления. На фоне темного неба, яркие огни фейерверков создают ощущение радости и торжества, вызывая у зрителей восторг и восхищение. Это изображение идеально подходит для иллюстрации празднования и особых событий, создавая атмосферу веселья и праздника."
2759,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000091442.jpg,English,"In this image, we see an unusual scene unfolding on a quiet residential street. A public transit bus, which appears to have veered off its route, is partially lodged on a grassy embankment, highlighting the aftermath of an incident. Nearby, a tow truck is parked, ready to assist in removing the bus from its precarious position. The tow truck has its flashing lights activated, indicating an emergency response in progress.  On the left side of the image, a woman stands observing the situation, dressed warmly in a blue jacket and white shoes, her expression reflecting curiosity or concern about the incident. A line of yellow caution tape stretches across the street, presumably cordoning off the area for safety and to keep bystanders at a distance.  In the background, the neighborhood is characterized by modest homes, trees, and a basketball hoop, creating a picturesque yet disrupted suburban setting. The sky is overcast, casting a muted light over the scene, which adds to the somber atmosphere of the event. Overall, this image captures a moment of unexpected disruption in an otherwise typical day in the community."
3593,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/mmid_images/Chinese_images/venue_awards_ceremony_items_notes-816-38.jpg,English,"In this dynamic moment captured during a lively performance, the artist showcases his musical talent while engaging with the audience. Dressed in a vibrant green and white shirt, he stands confidently on stage, holding a ukulele and singing passionately into a microphone. The atmosphere is electric, with bright stage lights illuminating his expressive face as he connects with fans through his music. His enthusiasm radiates throughout the venue, creating an unforgettable experience filled with energy and joy. The event highlights his unique style and charisma, drawing the crowd into the performance with every strum and note."
865,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Hindi_images/5920593594277937361_0.jpg,Hindi,"यह छवि एक Jio प्रीपेड सिम कार्ड पैकेज की है, जो एक प्रमुख टेलीकॉम सेवा प्रदाता है। यह पैकेज जीवंत नारंगी रंग में है, जिसमें ""Jio"" का नाम सफेद और लाल रंग में लिखा गया है। ""DIGITAL LIFE"" शब्द उसके नीचे लिखे हुए हैं, जो सेवा की डिजिटल विशेषताओं को दर्शाता है। पैकेज के डिजाइन में छोटे नीले और लाल गोल घेरे शामिल हैं, जो इसे आकर्षक बनाते हैं। छवि में एक साधारण सतह पर रखा गया है, जहाँ इसका टेक्सचर और रंग स्पष्ट दिखाई दे रहे हैं। इस कार्ड का उपयोग अक्सर मोबाइल कनेक्टिविटी, डेटा सेवाएँ, और अन्य डिजिटल सेवाओं के लिए किया जाता है।"
1903,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000012895.jpg,English,"In this breathtaking image, a majestic giraffe stands gracefully against a backdrop of lush green trees, showcasing its long neck and distinctive coat patterns. The giraffe's unique spot arrangements create a beautiful blend of earthy tones, reflecting its adaptation to the savanna. Sunlight filters through the leaves, illuminating the animal and creating a serene atmosphere. This enchanting scene highlights the giraffe's natural elegance and reinforces the importance of wildlife conservation, reminding us of the diverse ecosystems that need protection. The gentle demeanor of this gentle giant invites viewers to appreciate the wonders of the animal kingdom."
2347,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000053037.jpg,Chinese,"现代简约风格的公寓内景：舒适的沙发与温馨的照明营造出温馨氛围, 后方开放式厨房与用餐区融合，展现出时尚与实用的完美结合。"
1972,https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/filtered_images/000000018802.jpg,Chinese,温馨厨房内部场景：装修以自然木色为主，配有不锈钢 Appliances 和明亮的黄色墙壁。中央侧面显露一只好奇的小狗，静静地坐在厨房一角，背景中有一扇通往户外的玻璃门，墙上挂着一个时钟，为这个生活空间增添了温暖和生气。
