image_link,question,answer
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704271735778_0.jpg,What ambiance does the location exude?,a sacred temple
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704271735778_0.jpg,What type of figure draws the attention of visitors?,a deity or important cultural figure
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704271735778_0.jpg,Who is gathered around the architectural marvel?,South Indian men
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273202449_0.jpg,What does the bustling activity in the area indicate?,its significance as a gathering spot
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273202449_0.jpg,What does the location's established reputation highlight?,its cultural importance
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273202449_0.jpg,What atmosphere does the scene convey?,a festive atmosphere
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273202449_0.jpg,What does the large crowd at the lakeside hint at?,the occurrence of a large-scale event
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273202449_0.jpg,What does the vibrant attire of the crowd symbolize?,cultural expressions and traditions
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273406867_0.jpg,What historical significance does the monument hold?,A site where kings once interacted.
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273406867_0.jpg,What do nostalgia and appreciation for the monument suggest?,A deep cultural connection to history.
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273406867_0.jpg,What does the site embody?,A connection to its historical grandeur and cultural heritage.
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273406867_0.jpg,What does the woman's red ethnic clothing suggest?,Her cultural background or participation in traditional festivities.
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273406867_0.jpg,What does the living culture in the present day signify about the site?,Its ongoing cultural significance.
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273414792_0.jpg,What does the video represent?,an artifact from a bygone era
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273414792_0.jpg,What activity are the people in the crowd engaged in?,various activities or conversations
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273414792_0.jpg,What does the attire indicate about the gathering?,it may hold significance
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273414792_0.jpg,What can be observed outside the room?,beauty
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704273414792_0.jpg,What do the interior and exterior qualities create?,a rich atmosphere
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275153660_0.jpg,What does the gathering represent in terms of culture?,the warmth and spirit of Indian culture
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275153660_0.jpg,What type of clothing are the attendees wearing?,colorful ethnic wear
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275153660_0.jpg,What does this gathering embody?,a shared experience
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275153660_0.jpg,What cultural activity is commonly practiced in such gatherings?,picnics
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275153660_0.jpg,What sentiment does the assembly convey?,a deep sense of togetherness
https://raw.githubusercontent.com/JustinSQiu/image-captioning-mturk/master/cvqa/Bengali_images/5865687704275464656_0.jpg,What type of roof is common in traditional South Asian buildings?,a tin roof
